Energy Use Record Name,Carbon Footprint Name,Organization Asset,Asset Contact,Allocated Renewable Energy (kWh),Cooling Consumption,Cooling Unit,Diesel Consumption,Diesel Unit,Electricity Consumption,Electricity Unit,Electricity Emission Factors,Heat Consumption,Heat Unit,Natural Gas Consumption,Natural Gas Unit,Fuel Oil Consumption,Fuel Oil Unit,Steam Consumption,Steam Unit,Emission Conversion Factors,Energy Contract,Energy Service Provider,Carbon Inventory Date,Record Type,Report End Date,Report Start Date,Refrigerant GWP Factor,Renewable Energy Project Type
SF Tower - Oct2020,Salesforce Tower FY21,Salesforce Tower,Bobby Bonilla,100000,1000,kWh,1000,Liters,189000,kWh,CAMX - eGRID2018,10000,Therms,12500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,RE on-bill geothermal XP-992 FY21,Xcel Energy,12/21/20,Commercial Building,10/31/20,10/1/20,HCFC-142b - 2018 revision,Geothermal
SF Tower - Sep2020,Salesforce Tower FY21,Salesforce Tower,Bobby Bonilla,100000,1000,kWh,1000,Liters,149000,kWh,CAMX - eGRID2018,10000,Therms,12500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,RE PiperFarm SO-192 FY21,Xcel Energy,12/21/20,Commercial Building,9/30/20,9/1/20,HCFC-142b - 2018 revision,Geothermal
SF Tower - Jul2020,Salesforce Tower FY21,Salesforce Tower,Bobby Bonilla,110000,1000,kWh,1000,Liters,170000,kWh,CAMX - eGRID2018,1000,Therms,10500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,RE SSH-Y22 FY21,Xcel Energy,12/21/20,Commercial Building,7/31/20,7/1/20,HCFC-142b - 2018 revision,Geothermal
SF Tower - Jun2020,Salesforce Tower FY21,Salesforce Tower,Bobby Bonilla,150000,1000,kWh,1000,Liters,275000,kWh,CAMX - eGRID2018,1000,Therms,20500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,L-Mass LLC SO-4 FY21,Xcel Energy,12/21/20,Commercial Building,6/30/20,6/1/20,HCFC-142b - 2018 revision,Geothermal
SF Tower - Aug2020,Salesforce Tower FY21,Salesforce Tower,Bobby Bonilla,110000,1000,kWh,1000,Liters,170000,kWh,CAMX - eGRID2018,10000,Therms,10500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,Blade4 W-REC-6 FY21,Xcel Energy,12/21/20,Commercial Building,8/31/20,8/1/20,HCFC-142b - 2018 revision,Geothermal
SF Tower - Nov2020,Salesforce Tower FY21,Salesforce Tower,Bobby Bonilla,50000,1000,kWh,1000,Liters,89000,kWh,CAMX - eGRID2018,10000,Therms,12500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,RE on-bill geothermal XP-992 FY21,Xcel Energy,12/21/20,Commercial Building,11/30/20,11/1/20,HCFC-142b - 2018 revision,Geothermal
SF Tower - Feb2020,Salesforce Tower FY21,Salesforce Tower,Bobby Bonilla,10000,100,kWh,1000,Liters,250000,kWh,CAMX - eGRID2018,1000,Therms,500,Therms,1000,Liters,1000,Therms,GeneralConversionFactors,RE PiperFarm SO-192 FY21,Xcel Energy,12/21/20,Commercial Building,2/28/20,2/1/20,HCFC-142b - 2018 revision,Geothermal
SF Tower - Apr2020,Salesforce Tower FY21,Salesforce Tower,Bobby Bonilla,100000,100,kWh,1000,Liters,175000,kWh,CAMX - eGRID2018,1000,Therms,25500,Therms,1000,Liters,1000,Therms,GeneralConversionFactors,RE SSH-Y22 FY21,Xcel Energy,12/21/20,Commercial Building,4/30/20,4/1/20,HCFC-142b - 2018 revision,Geothermal
SF Tower - Mar2020,Salesforce Tower FY21,Salesforce Tower,Bobby Bonilla,100000,100,kWh,1000,Liters,150000,kWh,CAMX - eGRID2018,1000,Therms,500,Therms,1000,Liters,1000,Therms,GeneralConversionFactors,L-Mass LLC SO-4 FY21,Xcel Energy,12/21/20,Commercial Building,3/31/20,3/1/20,HCFC-142b - 2018 revision,Geothermal
SF Tower - Dec2020,Salesforce Tower FY21,Salesforce Tower,Bobby Bonilla,50000,1000,kWh,1000,Liters,129000,kWh,CAMX - eGRID2018,10000,Therms,52500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,Blade4 W-REC-6 FY21,Xcel Energy,12/21/20,Commercial Building,12/31/20,12/1/20,HCFC-142b - 2018 revision,Geothermal
SF Tower - Jan2020,Salesforce Tower FY21,Salesforce Tower,Bobby Bonilla,10000,10,kWh,100,Liters,200000,kWh,CAMX - eGRID2018,100,Therms,1000,Therms,100,Liters,1000,Therms,GeneralConversionFactors,RE on-bill geothermal XP-992 FY21,Xcel Energy,12/21/20,Commercial Building,1/31/20,1/1/20,HCFC-142b - 2018 revision,Geothermal
SF Tower - May2020,Salesforce Tower FY21,Salesforce Tower,Bobby Bonilla,150000,100,kWh,1000,Liters,175000,kWh,CAMX - eGRID2018,1000,Therms,20500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,RE PiperFarm SO-192 FY21,Xcel Energy,12/21/20,Commercial Building,5/31/20,5/1/20,HCFC-142b - 2018 revision,Geothermal
Bremington Commons - Oct2020,Bremington Commons FY21,Bremington Commons,Bobby Bonilla,100000,1000,kWh,1000,Liters,189000,kWh,CAMX - eGRID2018,10000,Therms,12500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,RE SSH-Y22 FY21,Xcel Energy,12/21/20,Commercial Building,10/31/20,10/1/20,HCFC-142b - 2018 revision,Geothermal
Bremington Commons - Sep2020,Bremington Commons FY21,Bremington Commons,Bobby Bonilla,100000,1000,kWh,1000,Liters,149000,kWh,CAMX - eGRID2018,10000,Therms,12500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,L-Mass LLC SO-4 FY21,Xcel Energy,12/21/20,Commercial Building,9/30/20,9/1/20,HCFC-142b - 2018 revision,Wind
Bremington Commons - Jul2020,Bremington Commons FY21,Bremington Commons,Bobby Bonilla,110000,1000,kWh,1000,Liters,170000,kWh,CAMX - eGRID2018,1000,Therms,10500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,Blade4 W-REC-6 FY21,Xcel Energy,12/21/20,Commercial Building,7/31/20,7/1/20,HCFC-142b - 2018 revision,Wind
Bremington Commons - Jun2020,Bremington Commons FY21,Bremington Commons,Bobby Bonilla,150000,1000,kWh,1000,Liters,275000,kWh,CAMX - eGRID2018,1000,Therms,20500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,RE on-bill geothermal XP-992 FY21,Xcel Energy,12/21/20,Commercial Building,6/30/20,6/1/20,HCFC-142b - 2018 revision,Wind
Bremington Commons - Aug2020,Bremington Commons FY21,Bremington Commons,Bobby Bonilla,110000,1000,kWh,1000,Liters,170000,kWh,CAMX - eGRID2018,10000,Therms,10500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,RE PiperFarm SO-192 FY21,Xcel Energy,12/21/20,Commercial Building,8/31/20,8/1/20,HCFC-142b - 2018 revision,Wind
Bremington Commons - Nov2020,Bremington Commons FY21,Bremington Commons,Bobby Bonilla,50000,1000,kWh,1000,Liters,89000,kWh,CAMX - eGRID2018,10000,Therms,12500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,RE SSH-Y22 FY21,Xcel Energy,12/21/20,Commercial Building,11/30/20,11/1/20,HCFC-142b - 2018 revision,Wind
Bremington Commons - Feb2020,Bremington Commons FY21,Bremington Commons,Bobby Bonilla,10000,100,kWh,1000,Liters,250000,kWh,CAMX - eGRID2018,1000,Therms,500,Therms,1000,Liters,1000,Therms,GeneralConversionFactors,L-Mass LLC SO-4 FY21,Xcel Energy,12/21/20,Commercial Building,2/28/20,2/1/20,HCFC-142b - 2018 revision,Wind
Bremington Commons - Apr2020,Bremington Commons FY21,Bremington Commons,Bobby Bonilla,100000,100,kWh,1000,Liters,175000,kWh,CAMX - eGRID2018,1000,Therms,25500,Therms,1000,Liters,1000,Therms,GeneralConversionFactors,Blade4 W-REC-6 FY21,Xcel Energy,12/21/20,Commercial Building,4/30/20,4/1/20,HCFC-142b - 2018 revision,Wind
Bremington Commons - Mar2020,Bremington Commons FY21,Bremington Commons,Bobby Bonilla,100000,100,kWh,1000,Liters,150000,kWh,CAMX - eGRID2018,1000,Therms,500,Therms,1000,Liters,1000,Therms,GeneralConversionFactors,RE on-bill geothermal XP-992 FY21,Xcel Energy,12/21/20,Commercial Building,3/31/20,3/1/20,HCFC-142b - 2018 revision,Wind
Bremington Commons - Dec2020,Bremington Commons FY21,Bremington Commons,Bobby Bonilla,50000,1000,kWh,1000,Liters,129000,kWh,CAMX - eGRID2018,10000,Therms,52500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,RE PiperFarm SO-192 FY21,Xcel Energy,12/21/20,Commercial Building,12/31/20,12/1/20,HCFC-142b - 2018 revision,Wind
Bremington Commons - Jan2020,Bremington Commons FY21,Bremington Commons,Bobby Bonilla,10000,10,kWh,100,Liters,200000,kWh,CAMX - eGRID2018,100,Therms,1000,Therms,100,Liters,1000,Therms,GeneralConversionFactors,RE SSH-Y22 FY21,Xcel Energy,12/21/20,Commercial Building,1/31/20,1/1/20,HCFC-142b - 2018 revision,Wind
Bremington Commons - May2020,Bremington Commons FY21,Bremington Commons,Bobby Bonilla,150000,100,kWh,1000,Liters,175000,kWh,CAMX - eGRID2018,1000,Therms,20500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,L-Mass LLC SO-4 FY21,Xcel Energy,12/21/20,Commercial Building,5/31/20,5/1/20,HCFC-142b - 2018 revision,Wind
SF Tower - Oct2019,Salesforce Tower FY20,Salesforce Tower,Bobby Bonilla,85000,1000,kWh,1000,Liters,189000,kWh,CAMX - eGRID2018,10000,Therms,12500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,Blade4 W-REC-6 FY21,Xcel Energy,12/21/20,Commercial Building,10/31/19,10/1/19,HCFC-142b - 2018 revision,Wind
SF Tower - Sep2019,Salesforce Tower FY20,Salesforce Tower,Bobby Bonilla,90000,1000,kWh,1000,Liters,149000,kWh,CAMX - eGRID2018,10000,Therms,12500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,RE on-bill geothermal XP-992 FY21,Xcel Energy,12/21/20,Commercial Building,9/30/19,9/1/19,HCFC-142b - 2018 revision,Wind
SF Tower - Jul2019,Salesforce Tower FY20,Salesforce Tower,Bobby Bonilla,95000,1000,kWh,1000,Liters,170000,kWh,CAMX - eGRID2018,1000,Therms,10500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,RE PiperFarm SO-192 FY21,Xcel Energy,12/21/20,Commercial Building,7/31/19,7/1/19,HCFC-142b - 2018 revision,Wind
SF Tower - Jun2019,Salesforce Tower FY20,Salesforce Tower,Bobby Bonilla,100000,1000,kWh,1000,Liters,275000,kWh,CAMX - eGRID2018,1000,Therms,20500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,RE SSH-Y22 FY21,Xcel Energy,12/21/20,Commercial Building,6/30/19,6/1/19,HCFC-142b - 2018 revision,Wind
SF Tower - Aug2019,Salesforce Tower FY20,Salesforce Tower,Bobby Bonilla,105000,1000,kWh,1000,Liters,170000,kWh,CAMX - eGRID2018,10000,Therms,10500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,L-Mass LLC SO-4 FY21,Xcel Energy,12/21/20,Commercial Building,8/31/19,8/1/19,HCFC-142b - 2018 revision,Wind
SF Tower - Nov2019,Salesforce Tower FY20,Salesforce Tower,Bobby Bonilla,50000,1000,kWh,1000,Liters,89000,kWh,CAMX - eGRID2018,10000,Therms,12500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,Blade4 W-REC-6 FY21,Xcel Energy,12/21/20,Commercial Building,11/30/19,11/1/19,HCFC-142b - 2018 revision,Solar
SF Tower - Feb2019,Salesforce Tower FY20,Salesforce Tower,Bobby Bonilla,115000,100,kWh,1000,Liters,250000,kWh,CAMX - eGRID2018,1000,Therms,500,Therms,1000,Liters,1000,Therms,GeneralConversionFactors,RE on-bill geothermal XP-992 FY21,Xcel Energy,12/21/20,Commercial Building,2/28/19,2/1/19,HCFC-142b - 2018 revision,Solar
SF Tower - Apr2019,Salesforce Tower FY20,Salesforce Tower,Bobby Bonilla,120000,100,kWh,1000,Liters,175000,kWh,CAMX - eGRID2018,1000,Therms,25500,Therms,1000,Liters,1000,Therms,GeneralConversionFactors,RE PiperFarm SO-192 FY21,Xcel Energy,12/21/20,Commercial Building,4/30/19,4/1/19,HCFC-142b - 2018 revision,Solar
SF Tower - Mar2019,Salesforce Tower FY20,Salesforce Tower,Bobby Bonilla,125000,100,kWh,1000,Liters,150000,kWh,CAMX - eGRID2018,1000,Therms,500,Therms,1000,Liters,1000,Therms,GeneralConversionFactors,RE SSH-Y22 FY21,Xcel Energy,12/21/20,Commercial Building,3/31/19,3/1/19,HCFC-142b - 2018 revision,Solar
SF Tower - Dec2019,Salesforce Tower FY20,Salesforce Tower,Bobby Bonilla,50000,1000,kWh,1000,Liters,129000,kWh,CAMX - eGRID2018,10000,Therms,52500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,L-Mass LLC SO-4 FY21,Xcel Energy,12/21/20,Commercial Building,12/31/19,12/1/19,HCFC-142b - 2018 revision,Solar
SF Tower - Jan2019,Salesforce Tower FY20,Salesforce Tower,Bobby Bonilla,135000,10,kWh,100,Liters,200000,kWh,CAMX - eGRID2018,100,Therms,1000,Therms,100,Liters,1000,Therms,GeneralConversionFactors,Blade4 W-REC-6 FY21,Xcel Energy,12/21/20,Commercial Building,1/31/19,1/1/19,HCFC-142b - 2018 revision,Solar
SF Tower - May2019,Salesforce Tower FY20,Salesforce Tower,Bobby Bonilla,140000,100,kWh,1000,Liters,175000,kWh,CAMX - eGRID2018,1000,Therms,20500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,RE on-bill geothermal XP-992 FY21,Xcel Energy,12/21/20,Commercial Building,5/31/19,5/1/19,HCFC-142b - 2018 revision,Solar
Bremington Commons - Oct2019,Bremington Commons FY20,Bremington Commons,Bobby Bonilla,85000,1000,kWh,1000,Liters,189000,kWh,CAMX - eGRID2018,10000,Therms,12500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,RE PiperFarm SO-192 FY21,Xcel Energy,12/21/20,Commercial Building,10/31/19,10/1/19,HCFC-142b - 2018 revision,Solar
Bremington Commons - Sep2019,Bremington Commons FY20,Bremington Commons,Bobby Bonilla,90000,1000,kWh,1000,Liters,149000,kWh,CAMX - eGRID2018,10000,Therms,12500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,RE SSH-Y22 FY21,Xcel Energy,12/21/20,Commercial Building,9/30/19,9/1/19,HCFC-142b - 2018 revision,Solar
Bremington Commons - Jul2019,Bremington Commons FY20,Bremington Commons,Bobby Bonilla,95000,1000,kWh,1000,Liters,170000,kWh,CAMX - eGRID2018,1000,Therms,10500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,L-Mass LLC SO-4 FY21,Xcel Energy,12/21/20,Commercial Building,7/31/19,7/1/19,HCFC-142b - 2018 revision,Solar
Bremington Commons - Jun2019,Bremington Commons FY20,Bremington Commons,Bobby Bonilla,100000,1000,kWh,1000,Liters,275000,kWh,CAMX - eGRID2018,1000,Therms,20500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,Blade4 W-REC-6 FY21,Xcel Energy,12/21/20,Commercial Building,6/30/19,6/1/19,HCFC-142b - 2018 revision,Solar
Bremington Commons - Aug2019,Bremington Commons FY20,Bremington Commons,Bobby Bonilla,105000,1000,kWh,1000,Liters,170000,kWh,CAMX - eGRID2018,10000,Therms,10500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,RE on-bill geothermal XP-992 FY21,Xcel Energy,12/21/20,Commercial Building,8/31/19,8/1/19,HCFC-142b - 2018 revision,Solar
Bremington Commons - Nov2019,Bremington Commons FY20,Bremington Commons,Bobby Bonilla,50000,1000,kWh,1000,Liters,89000,kWh,CAMX - eGRID2018,10000,Therms,12500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,RE PiperFarm SO-192 FY21,Xcel Energy,12/21/20,Commercial Building,11/30/19,11/1/19,HCFC-142b - 2018 revision,Solar
Bremington Commons - Feb2019,Bremington Commons FY20,Bremington Commons,Bobby Bonilla,115000,100,kWh,1000,Liters,250000,kWh,CAMX - eGRID2018,1000,Therms,500,Therms,1000,Liters,1000,Therms,GeneralConversionFactors,RE SSH-Y22 FY21,Xcel Energy,12/21/20,Commercial Building,2/28/19,2/1/19,HCFC-142b - 2018 revision,Solar
Bremington Commons - Apr2019,Bremington Commons FY20,Bremington Commons,Bobby Bonilla,120000,100,kWh,1000,Liters,175000,kWh,CAMX - eGRID2018,1000,Therms,25500,Therms,1000,Liters,1000,Therms,GeneralConversionFactors,L-Mass LLC SO-4 FY21,Xcel Energy,12/21/20,Commercial Building,4/30/19,4/1/19,HCFC-142b - 2018 revision,Solar
Bremington Commons - Mar2019,Bremington Commons FY20,Bremington Commons,Bobby Bonilla,125000,100,kWh,1000,Liters,150000,kWh,CAMX - eGRID2018,1000,Therms,500,Therms,1000,Liters,1000,Therms,GeneralConversionFactors,Blade4 W-REC-6 FY21,Xcel Energy,12/21/20,Commercial Building,3/31/19,3/1/19,HCFC-142b - 2018 revision,Solar
Bremington Commons - Dec2019,Bremington Commons FY20,Bremington Commons,Bobby Bonilla,50000,1000,kWh,1000,Liters,129000,kWh,CAMX - eGRID2018,10000,Therms,52500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,RE on-bill geothermal XP-992 FY21,Xcel Energy,12/21/20,Commercial Building,12/31/19,12/1/19,HCFC-142b - 2018 revision,Solar
