Energy Use Record Name,Carbon Footprint Name,Organization Asset,Asset Contact,Allocated Renewable Energy (kWh),Cooling Consumption,Cooling Unit,Diesel Consumption,Diesel Unit,Electricity Consumption,Electricity Unit,Electricity Emission Factors,Heat Consumption,Heat Unit,Natural Gas Consumption,Natural Gas Unit,Fuel Oil Consumption,Fuel Oil Unit,Steam Consumption,Steam Unit,Emission Conversion Factors,Energy Contract,Energy Service Provider,Carbon Inventory Date,Record Type,Report End Date,Report Start Date,Refrigerant GWP Factor,Renewable Energy Project Type
Bremington Commons - Jan2019,Bremington Commons FY20,Bremington Commons,Bobby Bonilla,135000,10,kWh,100,Liters,200000,kWh,CAMX - eGRID2018,100,Therms,1000,Therms,100,Liters,1000,Therms,GeneralConversionFactors,RE PiperFarm SO-192 FY21,Xcel Energy,12/21/20,Commercial Building,1/31/19,1/1/19,HCFC-142b - 2018 revision,Solar
Bremington Commons - May2019,Bremington Commons FY20,Bremington Commons,Bobby Bonilla,140000,100,kWh,1000,Liters,175000,kWh,CAMX - eGRID2018,1000,Therms,20500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,RE SSH-Y22 FY21,Xcel Energy,12/21/20,Commercial Building,5/31/19,5/1/19,HCFC-142b - 2018 revision,Solar
SF Tower - Oct2018,Salesforce Tower FY19,Salesforce Tower,Bobby Bonilla,75900,1000,kWh,1000,Liters,189000,kWh,CAMX - eGRID2018,10000,Therms,12500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,L-Mass LLC SO-4 FY21,Xcel Energy,12/21/20,Commercial Building,10/31/18,10/1/18,HCFC-142b - 2018 revision,Solar
SF Tower - Sep2018,Salesforce Tower FY19,Salesforce Tower,Bobby Bonilla,79400,1000,kWh,1000,Liters,149000,kWh,CAMX - eGRID2018,10000,Therms,12500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,Blade4 W-REC-6 FY21,Xcel Energy,12/21/20,Commercial Building,9/30/18,9/1/18,HCFC-142b - 2018 revision,Solar
SF Tower - Jul2018,Salesforce Tower FY19,Salesforce Tower,Bobby Bonilla,85400,1000,kWh,1000,Liters,170000,kWh,CAMX - eGRID2018,1000,Therms,10500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,RE on-bill geothermal XP-992 FY21,Xcel Energy,12/21/20,Commercial Building,7/31/18,7/1/18,HCFC-142b - 2018 revision,Solar
SF Tower - Jun2018,Salesforce Tower FY19,Salesforce Tower,Bobby Bonilla,91000,1000,kWh,1000,Liters,275000,kWh,CAMX - eGRID2018,1000,Therms,20500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,RE PiperFarm SO-192 FY21,Xcel Energy,12/21/20,Commercial Building,6/30/18,6/1/18,HCFC-142b - 2018 revision,Solar
SF Tower - Aug2018,Salesforce Tower FY19,Salesforce Tower,Bobby Bonilla,98000,1000,kWh,1000,Liters,170000,kWh,CAMX - eGRID2018,10000,Therms,10500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,RE SSH-Y22 FY21,Xcel Energy,12/21/20,Commercial Building,8/31/18,8/1/18,HCFC-142b - 2018 revision,Solar
SF Tower - Nov2018,Salesforce Tower FY19,Salesforce Tower,Bobby Bonilla,50000,1000,kWh,1000,Liters,89000,kWh,CAMX - eGRID2018,10000,Therms,12500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,L-Mass LLC SO-4 FY21,Xcel Energy,12/21/20,Commercial Building,11/30/18,11/1/18,HCFC-142b - 2018 revision,Solar
SF Tower - Feb2018,Salesforce Tower FY19,Salesforce Tower,Bobby Bonilla,108260,100,kWh,1000,Liters,250000,kWh,CAMX - eGRID2018,1000,Therms,500,Therms,1000,Liters,1000,Therms,GeneralConversionFactors,Blade4 W-REC-6 FY21,Xcel Energy,12/21/20,Commercial Building,2/28/18,2/1/18,HCFC-142b - 2018 revision,Solar
SF Tower - Apr2018,Salesforce Tower FY19,Salesforce Tower,Bobby Bonilla,113840,100,kWh,1000,Liters,175000,kWh,CAMX - eGRID2018,1000,Therms,25500,Therms,1000,Liters,1000,Therms,GeneralConversionFactors,RE on-bill geothermal XP-992 FY21,Xcel Energy,12/21/20,Commercial Building,4/30/18,4/1/18,HCFC-142b - 2018 revision,Solar
SF Tower - Mar2018,Salesforce Tower FY19,Salesforce Tower,Bobby Bonilla,119420,100,kWh,1000,Liters,150000,kWh,CAMX - eGRID2018,1000,Therms,500,Therms,1000,Liters,1000,Therms,GeneralConversionFactors,RE PiperFarm SO-192 FY21,Xcel Energy,12/21/20,Commercial Building,3/31/18,3/1/18,HCFC-142b - 2018 revision,Solar
SF Tower - Dec2018,Salesforce Tower FY19,Salesforce Tower,Bobby Bonilla,125000,1000,kWh,1000,Liters,129000,kWh,CAMX - eGRID2018,10000,Therms,52500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,RE SSH-Y22 FY21,Xcel Energy,12/21/20,Commercial Building,12/31/18,12/1/18,HCFC-142b - 2018 revision,Solar
SF Tower - Jan2018,Salesforce Tower FY19,Salesforce Tower,Bobby Bonilla,130580,10,kWh,100,Liters,200000,kWh,CAMX - eGRID2018,100,Therms,1000,Therms,100,Liters,1000,Therms,GeneralConversionFactors,L-Mass LLC SO-4 FY21,Xcel Energy,12/21/20,Commercial Building,1/31/18,1/1/18,HCFC-142b - 2018 revision,Solar
SF Tower - May2018,Salesforce Tower FY19,Salesforce Tower,Bobby Bonilla,136160,100,kWh,1000,Liters,175000,kWh,CAMX - eGRID2018,1000,Therms,20500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,Blade4 W-REC-6 FY21,Xcel Energy,12/21/20,Commercial Building,5/31/18,5/1/18,HCFC-142b - 2018 revision,Solar
Bremington Commons - Oct2018,Bremington Commons FY19,Bremington Commons,Bobby Bonilla,75900,1000,kWh,1000,Liters,189000,kWh,CAMX - eGRID2018,10000,Therms,12500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,RE on-bill geothermal XP-992 FY21,Xcel Energy,12/21/20,Commercial Building,10/31/18,10/1/18,HCFC-142b - 2018 revision,Solar
Bremington Commons - Sep2018,Bremington Commons FY19,Bremington Commons,Bobby Bonilla,79400,1000,kWh,1000,Liters,149000,kWh,CAMX - eGRID2018,10000,Therms,12500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,RE PiperFarm SO-192 FY21,Xcel Energy,12/21/20,Commercial Building,9/30/18,9/1/18,HCFC-142b - 2018 revision,Solar
Bremington Commons - Jul2018,Bremington Commons FY19,Bremington Commons,Bobby Bonilla,85400,1000,kWh,1000,Liters,170000,kWh,CAMX - eGRID2018,1000,Therms,10500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,RE SSH-Y22 FY21,Xcel Energy,12/21/20,Commercial Building,7/31/18,7/1/18,HCFC-142b - 2018 revision,Solar
Bremington Commons - Jun2018,Bremington Commons FY19,Bremington Commons,Bobby Bonilla,91000,1000,kWh,1000,Liters,275000,kWh,CAMX - eGRID2018,1000,Therms,20500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,L-Mass LLC SO-4 FY21,Xcel Energy,12/21/20,Commercial Building,6/30/18,6/1/18,HCFC-142b - 2018 revision,Solar
Bremington Commons - Aug2018,Bremington Commons FY19,Bremington Commons,Bobby Bonilla,98000,1000,kWh,1000,Liters,170000,kWh,CAMX - eGRID2018,10000,Therms,10500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,Blade4 W-REC-6 FY21,Xcel Energy,12/21/20,Commercial Building,8/31/18,8/1/18,HCFC-142b - 2018 revision,Solar
Bremington Commons - Nov2018,Bremington Commons FY19,Bremington Commons,Bobby Bonilla,50000,1000,kWh,1000,Liters,89000,kWh,CAMX - eGRID2018,10000,Therms,12500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,RE on-bill geothermal XP-992 FY21,Xcel Energy,12/21/20,Commercial Building,11/30/18,11/1/18,HCFC-142b - 2018 revision,Solar
Bremington Commons - Feb2018,Bremington Commons FY19,Bremington Commons,Bobby Bonilla,108260,100,kWh,1000,Liters,250000,kWh,CAMX - eGRID2018,1000,Therms,500,Therms,1000,Liters,1000,Therms,GeneralConversionFactors,RE PiperFarm SO-192 FY21,Xcel Energy,12/21/20,Commercial Building,2/28/18,2/1/18,HCFC-142b - 2018 revision,Solar
Bremington Commons - Apr2018,Bremington Commons FY19,Bremington Commons,Bobby Bonilla,113840,100,kWh,1000,Liters,175000,kWh,CAMX - eGRID2018,1000,Therms,25500,Therms,1000,Liters,1000,Therms,GeneralConversionFactors,RE SSH-Y22 FY21,Xcel Energy,12/21/20,Commercial Building,4/30/18,4/1/18,HCFC-142b - 2018 revision,Solar
Bremington Commons - Mar2018,Bremington Commons FY19,Bremington Commons,Bobby Bonilla,119420,100,kWh,1000,Liters,150000,kWh,CAMX - eGRID2018,1000,Therms,500,Therms,1000,Liters,1000,Therms,GeneralConversionFactors,L-Mass LLC SO-4 FY21,Xcel Energy,12/21/20,Commercial Building,3/31/18,3/1/18,HCFC-142b - 2018 revision,Solar
Bremington Commons - Dec2018,Bremington Commons FY19,Bremington Commons,Bobby Bonilla,125000,1000,kWh,1000,Liters,129000,kWh,CAMX - eGRID2018,10000,Therms,52500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,Blade4 W-REC-6 FY21,Xcel Energy,12/21/20,Commercial Building,12/31/18,12/1/18,HCFC-142b - 2018 revision,Solar
Bremington Commons - Jan2018,Bremington Commons FY19,Bremington Commons,Bobby Bonilla,130580,10,kWh,100,Liters,200000,kWh,CAMX - eGRID2018,100,Therms,1000,Therms,100,Liters,1000,Therms,GeneralConversionFactors,RE on-bill geothermal XP-992 FY21,Xcel Energy,12/21/20,Commercial Building,1/31/18,1/1/18,HCFC-142b - 2018 revision,Solar
Bremington Commons - May2018,Bremington Commons FY19,Bremington Commons,Bobby Bonilla,136160,100,kWh,1000,Liters,175000,kWh,CAMX - eGRID2018,1000,Therms,20500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,RE PiperFarm SO-192 FY21,Xcel Energy,12/21/20,Commercial Building,5/31/18,5/1/18,HCFC-142b - 2018 revision,Solar
140 Mission St - Oct2020,140 Mission St FY21,140 Mission St,Sonali Agarwhal,75900,1000,kWh,1000,Liters,189000,kWh,CAMX - eGRID2018,10000,Therms,12500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,RE SSH-Y22 FY21,Xcel Energy,12/21/20,Commercial Building,10/31/20,10/1/20,HCFC-142b - 2018 revision,Solar
140 Mission St - Sep2020,140 Mission St FY21,140 Mission St,Sonali Agarwhal,79400,1000,kWh,1000,Liters,149000,kWh,CAMX - eGRID2018,10000,Therms,12500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,L-Mass LLC SO-4 FY21,Xcel Energy,12/21/20,Commercial Building,9/30/20,9/1/20,HCFC-142b - 2018 revision,Solar
140 Mission St - Jul2020,140 Mission St FY21,140 Mission St,Sonali Agarwhal,85400,1000,kWh,1000,Liters,170000,kWh,CAMX - eGRID2018,1000,Therms,10500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,Blade4 W-REC-6 FY21,Xcel Energy,12/21/20,Commercial Building,7/31/20,7/1/20,HCFC-142b - 2018 revision,Solar
140 Mission St - Jun2020,140 Mission St FY21,140 Mission St,Sonali Agarwhal,91000,1000,kWh,1000,Liters,275000,kWh,CAMX - eGRID2018,1000,Therms,20500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,RE on-bill geothermal XP-992 FY21,Xcel Energy,12/21/20,Commercial Building,6/30/20,6/1/20,HCFC-142b - 2018 revision,Solar
140 Mission St - Aug2020,140 Mission St FY21,140 Mission St,Sonali Agarwhal,98000,1000,kWh,1000,Liters,170000,kWh,CAMX - eGRID2018,10000,Therms,10500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,RE PiperFarm SO-192 FY21,Xcel Energy,12/21/20,Commercial Building,8/31/20,8/1/20,HCFC-142b - 2018 revision,Solar
140 Mission St - Nov2020,140 Mission St FY21,140 Mission St,Sonali Agarwhal,50000,1000,kWh,1000,Liters,89000,kWh,CAMX - eGRID2018,10000,Therms,12500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,RE SSH-Y22 FY21,Xcel Energy,12/21/20,Commercial Building,11/30/20,11/1/20,HCFC-142b - 2018 revision,Solar
140 Mission St - Feb2020,140 Mission St FY21,140 Mission St,Sonali Agarwhal,75900,100,kWh,1000,Liters,250000,kWh,CAMX - eGRID2018,1000,Therms,500,Therms,1000,Liters,1000,Therms,GeneralConversionFactors,L-Mass LLC SO-4 FY21,Xcel Energy,12/21/20,Commercial Building,2/28/20,2/1/20,HCFC-142b - 2018 revision,Solar
140 Mission St - Apr2020,140 Mission St FY21,140 Mission St,Sonali Agarwhal,79400,100,kWh,1000,Liters,175000,kWh,CAMX - eGRID2018,1000,Therms,25500,Therms,1000,Liters,1000,Therms,GeneralConversionFactors,Blade4 W-REC-6 FY21,Xcel Energy,12/21/20,Commercial Building,4/30/20,4/1/20,HCFC-142b - 2018 revision,Solar
140 Mission St - Mar2020,140 Mission St FY21,140 Mission St,Sonali Agarwhal,85400,100,kWh,1000,Liters,150000,kWh,CAMX - eGRID2018,1000,Therms,500,Therms,1000,Liters,1000,Therms,GeneralConversionFactors,RE on-bill geothermal XP-992 FY21,Xcel Energy,12/21/20,Commercial Building,3/31/20,3/1/20,HCFC-142b - 2018 revision,Solar
140 Mission St - Dec2020,140 Mission St FY21,140 Mission St,Sonali Agarwhal,91000,1000,kWh,1000,Liters,129000,kWh,CAMX - eGRID2018,10000,Therms,52500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,RE PiperFarm SO-192 FY21,Xcel Energy,12/21/20,Commercial Building,12/31/20,12/1/20,HCFC-142b - 2018 revision,Solar
140 Mission St - Jan2020,140 Mission St FY21,140 Mission St,Sonali Agarwhal,98000,10,kWh,100,Liters,200000,kWh,CAMX - eGRID2018,100,Therms,1000,Therms,100,Liters,1000,Therms,GeneralConversionFactors,RE SSH-Y22 FY21,Xcel Energy,12/21/20,Commercial Building,1/31/20,1/1/20,HCFC-142b - 2018 revision,Solar
140 Mission St - May2020,140 Mission St FY21,140 Mission St,Sonali Agarwhal,102680,100,kWh,1000,Liters,175000,kWh,CAMX - eGRID2018,1000,Therms,20500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,L-Mass LLC SO-4 FY21,Xcel Energy,12/21/20,Commercial Building,5/31/20,5/1/20,HCFC-142b - 2018 revision,Solar
499 Centennial Pkwy - Oct2020,499 Centennial Pkwy FY21,499 Centennial Pkwy,Sonali Agarwhal,75900,1000,kWh,1000,Liters,189000,kWh,CAMX - eGRID2018,10000,Therms,12500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,Blade4 W-REC-6 FY21,Xcel Energy,12/21/20,Commercial Building,10/31/20,10/1/20,HCFC-142b - 2018 revision,Solar
499 Centennial Pkwy - Sep2020,499 Centennial Pkwy FY21,499 Centennial Pkwy,Sonali Agarwhal,79400,1000,kWh,1000,Liters,149000,kWh,CAMX - eGRID2018,10000,Therms,12500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,RE on-bill geothermal XP-992 FY21,Xcel Energy,12/21/20,Commercial Building,9/30/20,9/1/20,HCFC-142b - 2018 revision,Solar
499 Centennial Pkwy - Jul2020,499 Centennial Pkwy FY21,499 Centennial Pkwy,Sonali Agarwhal,85400,1000,kWh,1000,Liters,170000,kWh,CAMX - eGRID2018,1000,Therms,10500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,RE PiperFarm SO-192 FY21,Xcel Energy,12/21/20,Commercial Building,7/31/20,7/1/20,HCFC-142b - 2018 revision,Solar
499 Centennial Pkwy - Jun2020,499 Centennial Pkwy FY21,499 Centennial Pkwy,Sonali Agarwhal,91000,1000,kWh,1000,Liters,275000,kWh,CAMX - eGRID2018,1000,Therms,20500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,RE SSH-Y22 FY21,Xcel Energy,12/21/20,Commercial Building,6/30/20,6/1/20,HCFC-142b - 2018 revision,Solar
499 Centennial Pkwy - Aug2020,499 Centennial Pkwy FY21,499 Centennial Pkwy,Sonali Agarwhal,98000,1000,kWh,1000,Liters,170000,kWh,CAMX - eGRID2018,10000,Therms,10500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,L-Mass LLC SO-4 FY21,Xcel Energy,12/21/20,Commercial Building,8/31/20,8/1/20,HCFC-142b - 2018 revision,Solar
499 Centennial Pkwy - Nov2020,499 Centennial Pkwy FY21,499 Centennial Pkwy,Sonali Agarwhal,50000,1000,kWh,1000,Liters,89000,kWh,CAMX - eGRID2018,10000,Therms,12500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,Blade4 W-REC-6 FY21,Xcel Energy,12/21/20,Commercial Building,11/30/20,11/1/20,HCFC-142b - 2018 revision,Solar
499 Centennial Pkwy - Feb2020,499 Centennial Pkwy FY21,499 Centennial Pkwy,Sonali Agarwhal,108260,100,kWh,1000,Liters,250000,kWh,CAMX - eGRID2018,1000,Therms,500,Therms,1000,Liters,1000,Therms,GeneralConversionFactors,RE on-bill geothermal XP-992 FY21,Xcel Energy,12/21/20,Commercial Building,2/28/20,2/1/20,HCFC-142b - 2018 revision,Solar
499 Centennial Pkwy - Apr2020,499 Centennial Pkwy FY21,499 Centennial Pkwy,Sonali Agarwhal,113840,100,kWh,1000,Liters,175000,kWh,CAMX - eGRID2018,1000,Therms,25500,Therms,1000,Liters,1000,Therms,GeneralConversionFactors,RE PiperFarm SO-192 FY21,Xcel Energy,12/21/20,Commercial Building,4/30/20,4/1/20,HCFC-142b - 2018 revision,Solar
499 Centennial Pkwy - Mar2020,499 Centennial Pkwy FY21,499 Centennial Pkwy,Sonali Agarwhal,119420,100,kWh,1000,Liters,150000,kWh,CAMX - eGRID2018,1000,Therms,500,Therms,1000,Liters,1000,Therms,GeneralConversionFactors,RE SSH-Y22 FY21,Xcel Energy,12/21/20,Commercial Building,3/31/20,3/1/20,HCFC-142b - 2018 revision,Solar
