Carbon Footprint Name,Organization Asset,Allocation Status,Audit Approval Status,Record Type,Stage,Reporting Year,Reporting Date,Energy Intensity Reference Data,Extrapolation Status
Bremington Commons FY18,Bremington Commons,Complete,Approved,Commercial Building,Finished,2018,4/15/19,Energy Intensity Reference Data,Complete
Bremington Commons FY19,Bremington Commons,Complete,Approved,Commercial Building,Finished,2019,4/15/20,Energy Intensity Reference Data,Complete
Bremington Commons FY20,Bremington Commons,Needs Allocation,Pending Approval,Commercial Building,Interpolation,2020,4/15/21,Energy Intensity Reference Data,Needs Extrapolation
Salesforce Tower FY18,Salesforce Tower,Complete,Approved,Commercial Building,Finished,2018,4/15/19,Energy Intensity Reference Data,Complete
Salesforce Tower FY19,Salesforce Tower,Complete,Approved,Commercial Building,Finished,2019,4/15/20,Energy Intensity Reference Data,Complete
Salesforce Tower FY20,Salesforce Tower,Needs Allocation,Pending Approval,Commercial Building,Renewable Energy Allocation,2020,4/15/21,Energy Intensity Reference Data,Needs Extrapolation
140 Mission St FY20,140 Mission St,Needs Allocation,Pending Approval,Commercial Building,Data Collection,2020,4/15/21,Energy Intensity Reference Data,Needs Extrapolation
499 Centennial Pkwy FY20,499 Centennial Pkwy,Complete,Pending Approval,Commercial Building,Data Collection,2020,4/15/21,Energy Intensity Reference Data,Needs Extrapolation
940 14th St #290 FY20,940 14th St #290,Complete,Pending Approval,Commercial Building,Validation,2020,4/15/21,Energy Intensity Reference Data,Needs Extrapolation
Longs Tower East FY20,Longs Tower East,Needs Allocation,Pending Approval,Commercial Building,External Audit,2020,4/15/21,Energy Intensity Reference Data,Needs Extrapolation
WMDV Square North FY20,WMDV Square North,Needs Allocation,Pending Approval,Commercial Building,External Audit,2020,4/15/21,Energy Intensity Reference Data,Needs Extrapolation